Image_IDs,Visible_Percent,Ground_Control,Satellite_Azimuth,Date,Time_UTC
20210202_184814_34_2307,91,TRUE,182,2/2/2021,48:14.4
20210202_184816_70_2307,100,TRUE,183.1,2/2/2021,48:16.7
20210205_182500_1039,100,TRUE,277.3,2/5/2021,25:00.9
20210205_182501_1039,100,TRUE,277.3,2/5/2021,25:02.0
20210205_184715_29_2406,100,TRUE,100.6,2/5/2021,47:15.3
20210206_175630_08_2206,100,TRUE,269.6,2/6/2021,56:30.1
20210206_175632_29_2206,100,TRUE,270,2/6/2021,56:32.3
20210207_180113_26_227e,100,TRUE,105.5,2/7/2021,01:13.3
20210207_180115_71_227e,100,TRUE,105.5,2/7/2021,01:15.7
20210208_180535_40_2279,72,TRUE,106.5,2/8/2021,05:35.4
20210208_182357_1002,100,TRUE,189.3,2/8/2021,23:57.8
20210208_182358_1002,88,TRUE,184.9,2/8/2021,23:58.8
20210210_190136_76_1058,100,TRUE,104.1,2/10/2021,01:36.8
20210210_190138_76_1058,100,TRUE,103.8,2/10/2021,01:38.8
20210211_184844_22_2413,100,TRUE,109.2,2/11/2021,48:44.2
20210212_184629_82_2401,98,TRUE,100.7,2/12/2021,46:29.8
20210212_184632_09_2401,98,TRUE,100.7,2/12/2021,46:32.1
20210214_182348_101b,100,TRUE,177.1,2/14/2021,23:48.6
20210214_182349_101b,100,TRUE,175.6,2/14/2021,23:49.6
20210216_182328_1001,100,TRUE,273.9,2/16/2021,23:28.5
20210216_182329_1001,100,TRUE,274.4,2/16/2021,23:29.5
20210218_180717_65_2259,100,TRUE,277.3,2/18/2021,07:17.7
20210218_183231_28_105c,100,TRUE,104.3,2/18/2021,32:31.3
20210218_183233_16_105c,100,TRUE,104.3,2/18/2021,32:33.2
20210218_184818_78_2408,100,TRUE,108.2,2/18/2021,48:18.8
20210218_184821_06_2408,100,TRUE,108.6,2/18/2021,48:21.1
20210219_175947_0e26,100,TRUE,100.5,2/19/2021,59:47.0
20210219_175948_0e26,100,TRUE,100.4,2/19/2021,59:48.0
20210220_182749_0f4e,100,TRUE,277.4,2/20/2021,27:49.6
20210220_182750_0f4e,100,TRUE,277.5,2/20/2021,27:50.7
20210221_182321_1040,100,TRUE,107.9,2/21/2021,23:21.5
20210221_182322_1040,100,TRUE,107.8,2/21/2021,23:22.5
20210222_154149_0f49,100,TRUE,83.2,2/22/2021,41:49.2
20210222_154150_0f49,100,TRUE,83.1,2/22/2021,41:51.0
20210222_154150_1_0f49,100,TRUE,83.1,2/22/2021,41:50.1
20210222_175846_73_245e,100,TRUE,277.5,2/22/2021,58:46.7
20210222_182357_1008,100,TRUE,274,2/22/2021,23:57.1
20210222_182358_1008,100,TRUE,274,2/22/2021,23:58.1
20210222_182359_1008,100,TRUE,274,2/22/2021,23:59.1
20210223_180216_38_2441,100,TRUE,100.8,2/23/2021,02:16.4
20210223_182347_1002,100,TRUE,182.8,2/23/2021,23:47.2
20210223_182348_1002,100,TRUE,183.4,2/23/2021,23:48.3
20210224_154226_1052,100,TRUE,82.9,2/24/2021,42:26.4
20210224_154227_1052,100,TRUE,82.9,2/24/2021,42:27.3
20210224_154228_1052,100,TRUE,83.1,2/24/2021,42:28.2
20210224_182303_0f4e,100,TRUE,100.1,2/24/2021,23:03.4
20210224_182304_0f4e,100,TRUE,100.1,2/24/2021,23:04.4
20210225_184552_04_2254,100,TRUE,102.2,2/25/2021,45:52.0
20210225_184554_39_2254,100,TRUE,101.9,2/25/2021,45:54.4
20210226_180227_81_2277,100,TRUE,100.7,2/26/2021,02:27.8
20210226_180230_03_2277,100,TRUE,100.8,2/26/2021,02:30.0
20210226_182337_1014,100,TRUE,179.8,2/26/2021,23:37.6
20210226_182338_1014,100,TRUE,183.9,2/26/2021,23:38.6
20210227_154143_1_1054,100,TRUE,83.1,2/27/2021,41:44.0
20210227_154144_1054,100,TRUE,83.1,2/27/2021,41:44.8
20210227_181621_66_1069,100,TRUE,83.2,2/27/2021,16:21.7
20210227_182217_1009,100,TRUE,109.3,2/27/2021,22:17.7
20210227_182218_1009,100,TRUE,108.6,2/27/2021,22:18.7
20210228_180300_59_2264,100,TRUE,100.6,2/28/2021,03:00.6
20210228_182307_103c,100,TRUE,274.5,2/28/2021,23:07.5
20210228_182308_103c,100,TRUE,274.5,2/28/2021,23:08.5
20210228_190153_69_105e,100,TRUE,100.7,2/28/2021,01:53.7
20210228_190155_69_105e,100,TRUE,100.6,2/28/2021,01:55.7
20210301_154403_100d,100,TRUE,260.1,3/1/2021,44:03.4
20210301_154404_100d,100,TRUE,260.1,3/1/2021,44:04.3
20210301_154405_100d,100,TRUE,260.1,3/1/2021,44:05.2
20210301_182125_1035,100,TRUE,101.2,3/1/2021,21:25.6
20210301_182126_1035,100,TRUE,101.2,3/1/2021,21:26.6
20210305_180326_81_225a,100,TRUE,102.3,3/5/2021,03:26.8
20210305_184737_59_2416,100,TRUE,268,3/5/2021,47:37.6
20210305_184739_95_2416,100,TRUE,268.2,3/5/2021,47:40.0
20210306_154417_0f36,100,TRUE,260.4,3/6/2021,44:17.1
20210306_154418_0f36,100,TRUE,260.3,3/6/2021,44:18.9
20210306_154418_1_0f36,100,TRUE,260.4,3/6/2021,44:18.0
